Program ID,Facility Name,Town,County,Withdrawal Category,Withdrawal Type,Reporting Year,Average Day Withdrawal (MGD),Maximum Day Withdrawal (MGD),Easting,Northing
WWR0000083,Ayers & Gillette LLC,Pike (T),Wyoming,Agricultural,Surface Water,2018,,,240402,4715952
WWR0000162,Brierwood Country Club,Hamburg (T),Erie,Recreational - Golf Course,Surface Water,2018,0.07,0.39,182608,4739417
WWR0000214,Canandaigua Country Club,Canandaigua (T),Ontario,Recreational - Golf Course,Surface Water,2018,0.02,0.17,315644,4748972
WWR0001836,Christman's Windham House,Windham (T),Greene,Recreational - Golf Course,Groundwater,2018,0.16,0.2,559283,4683968
WWR0000362,Country Club of Rochester,Brighton (T),Monroe,Recreational - Golf Course,Surface Water,2018,0.08,0.33,293806,4778220
WWR0001913,Frear Park Municipal Golf,Troy (C),Rensselaer,Recreational - Golf Course,Surface Water,2018,0.05,1.8,608807,4733390
WWR0001794,Glen Oak Golf Course,Amherst (T),Erie,Recreational - Golf Course,Groundwater,2018,0.06,0.36,197429,4773129
WWR0000604,"Golden Harvest Farms, Inc.",Kinderhook (T),Columbia,Agricultural,Groundwater; Surface Water,2018,0.11,0.8,608065,4698981
WWR0001932,Greenview Country Club,West Monroe (T),Oswego,Recreational - Golf Course,Surface Water,2018,0.09,0.09,412480,4793072
WWR0000867,Klein's Kill Fruit Farms,Livingston (T),Columbia,Agricultural,Groundwater; Surface Water,2018,0,0,596943,4668020
WWR0000919,Lochmor Golf Course,Fallsburg (T),Sullivan,Recreational - Golf Course,Surface Water,2018,0.35,0.35,528169,4623205
WWR0000926,Logan Farms,Palatine (T),Montgomery,Agricultural,Surface Water,2018,0,0,534053,4756947
WWR0000946,Malone Golf Club,Malone (T),Franklin,Recreational - Golf Course,Groundwater,2018,0.09,0.45,557054,4963577
WWR0001952,Marcellus Golf Club,Marcellus (T),Onondaga,Recreational - Golf Course,Surface Water,2018,0.04,0.07,392914,4759717
WWR0001001,Millbrook Golf & Tennis Club,Washington (T),Dutchess,Recreational - Golf Course,Groundwater; Surface Water; Purchase,2018,0.01,0.09,608718,4625589
WWR0001109,Oak Hill Country Club,Pittsford (T),Monroe,Recreational - Golf Course,Surface Water,2018,0.18,0.58,294504,4776705
WWR0001840,"Pittsford, Tn - Recreational",Pittsford (T),Monroe,Recreational - Other,Surface Water,2018,0.03,0.03,294923,4773874
WWR0001165,P.J. Rotella Memorial GC,Haverstraw (T),Rockland,Recreational - Golf Course,Surface Water,2018,0.05,0.17,581238,4561479
WWR0001277,Ravenwood Golf Club,Victor (T),Ontario,Recreational - Golf Course,Surface Water,2018,0.06,0.62,304763,4762891
WWR0001352,Salem Golf Club,North Salem (T),Westchester,Recreational - Golf Course,Surface Water,2018,0.02,0.12,619132,4578770
WWR0001381,Saunderskill Farm,Rochester (T),Ulster,Agricultural,Surface Water,2018,0.5,1,565542,4626228
WWR0001408,Seneca Falls Country Club,Seneca Falls (T),Seneca,Recreational - Golf Course,Surface Water,2018,0.02,0.17,356885,4750215
WWR0001431,Silver Lake Country Club,Castile (T),Wyoming,Recreational - Golf Course,Surface Water,2018,0.04,0.58,251617,4732125
WWR0001895,Stocking Hill Farms,York (T),Livingston,Agricultural,Surface Water,2018,0,0,267550,4750695
WWR0001490,Sugar Hill Golf Course,Portland (T),Chautauqua,Recreational - Golf Course,Surface Water,2018,0.02,0.03,127920,4701209
WWR0001498,Sunrise Farms,Catskill (T),Greene,Agricultural,Surface Water,2018,0,0,585284,4675179
WWR0001524,Tarry Brae Golf Course (South Fallsburgh),Fallsburg (T),Sullivan,Recreational - Golf Course,Surface Water,2018,0.35,0.35,529817,4620042
WWR0001528,Terry Hills Golf Course,Batavia (T),Genesee,Recreational - Golf Course,Groundwater; Surface Water,2018,0.02,0.22,243922,4765838
WWR0001574,Truncali Farms,Marlborough (T),Ulster,Agricultural,Groundwater; Surface Water,2018,0.12,0.12,584166,4604555
WWR0001603,Van Patten Golf Club,Clifton Park (T),Saratoga,Recreational - Golf Course,Groundwater,2018,0.03,0.34,595717,4750750
WWR0001854,Warwick Valley Country Club,Warwick (T),Orange,Recreational - Golf Course,Groundwater; Surface Water,2018,0.01,0.08,553431,4566665
WWR0000005,Abe Datthyn Farms,Sodus (T),Wayne,Agricultural,Groundwater,2017,0,0.05,330669,4782586
WWR0000312,A COLARUSSO & SON INC (KEARNEY),Greenport (T),Columbia,Mine Dewatering,Groundwater; Surface Water,2017,0.37,0.88,599525,4672930
WWR0000006,"Adams, Vg",Adams (T),Jefferson,Public Water Supply,Groundwater,2017,0.37,0.99,417557,4851005
WWR0000007,"Addison, Vg",Addison (T),Steuben,Public Water Supply,Groundwater,2017,0.19,0.72,314979,4663646
WWR0000008,Adirondack Beverages,Glenville (T),Schenectady,Bottled/Bulk Water,Groundwater; Surface Water,2017,0.38,0.6,583098,4743426
WWR0000010,Adirondack Farms LLC,Ausable (T),Clinton,Agricultural,Groundwater,2017,0.11,0.25,617118,4933223
WWR0000016,"Afton, Vg",Afton (T),Chenango,Public Water Supply,Groundwater; Surface Water,2017,0.18,0.28,456392,4674906
WWR0000018,"Agri-Mark, Inc - Chateaugay Plant",Chateaugay (T),Franklin,Industrial,Groundwater,2017,0.81,0.92,573121,4974936
WWR0000020,Agro-Farma Campus,Norwich (T),Chenango,Industrial,Groundwater,2017,0.02,0.05,457096,4711732
